RDF,Out_Degree,In_Degree,Degree
Q3572,15,4,19
Q3579,12,2,14
Q3586,5,4,9
Q3589,54,0,54
Q3616,16,13,29
Q3624,12,6,18
Q3630,20,5,25
Q3640,19,2,21
Q3692,5,3,8
Q3711,26,18,44
Q3718,11,2,13
Q3724,7,5,12
Q3741,0,5,5
Q3748,14,1,15
Q3757,21,2,23
Q3761,11,6,17
Q3766,22,4,26
Q3772,54,43,97
Q3780,8,3,11
Q3805,11,1,12
Q3815,42,0,42
Q3820,18,11,29
Q3838,13,2,15
Q3856,10,10,20
Q3861,5,3,8
Q3863,7,0,7
Q3869,19,4,23
Q3870,6,6,12
Q3872,4,4,8
Q3884,2,6,8
Q3894,5,1,6
Q3914,11,29,40
Q3918,16,227,243
Q3921,4,2,6
Q3923,19,2,21
Q3925,28,7,35
Q3926,11,6,17
Q3930,5,6,11
Q3955,29,6,35
Q3957,6,107,113
Q3960,17,9,26
Q3966,10,7,17
Q4018,0,5,5
Q4022,12,10,22
Q4024,27,1,28
Q4028,40,10,50
Q4029,12,0,12
Q4030,41,6,47
Q4039,23,1,24
Q4040,0,5,5
Q4042,23,0,23
Q4070,20,1,21
Q4093,25,44,69
Q4100,32,3,35
Q4109,22,11,33
Q4119,24,0,24
Q4131,10,2,12
Q4184,4,7,11
Q4191,17,1,18
Q4212,18,15,33
Q4223,13,5,18
Q4227,23,8,31
Q4230,20,12,32
Q4235,49,9,58
Q4264,13,12,25
Q4270,21,0,21
Q4293,10,5,15
Q4361,10,1,11
Q4412,7,19,26
Q4430,61,0,61
Q4440,21,9,30
Q4444,32,0,32
Q4465,40,40,80
Q4478,14,6,20
Q4488,21,9,30
Q4491,16,11,27
Q4500,19,6,25
Q4507,16,1,17
Q4509,14,5,19
Q4512,6,2,8
Q4529,70,1,71
Q4538,26,9,35
Q4543,5,2,7
Q4547,22,14,36
Q4558,13,0,13
Q4573,55,25,80
Q4612,39,4,43
Q4614,26,134,160
Q4616,34,4,38
Q4617,23,3,26
Q4628,18,3,21
Q4636,66,20,86
Q4653,26,2,28
Q4700,29,2,31
Q4914,23,3,26
Q4915,11,1,12
Q4916,34,37,71
Q4917,4,27,31
Q4918,32,8,40
Q4948,14,13,27
Q4960,31,11,42
Q4970,18,2,20
Q4985,30,5,35
Q5043,16,153,169
Q5083,16,59,75
Q5092,28,73,101
Q5105,56,4,60
Q5107,8,9,17
Q5112,18,8,26
Q5113,12,0,12
Q5119,3,21,24
Q5137,9,8,17
Q5146,15,56,71
Q5240,5,7,12
Q5268,4,12,16
Q5284,43,7,50
Q5287,10,170,180
Q5292,0,36,36
Q5294,4,11,15
Q5369,8,105,113
Q5372,6,162,168
Q5375,9,14,23
Q5377,11,8,19
Q5378,4,6,10
Q5383,87,21,108
Q5385,2,100,102
Q5386,4,17,21
Q5390,2,194,196
Q5401,9,14,23
Q5419,18,1,19
Q5445,12,3,15
Q5451,20,2,22
Q5456,18,0,18
Q5463,20,3,23
Q5465,14,10,24
Q5468,13,0,13
Q5475,10,1,11
Q5492,13,4,17
Q5582,23,1,24
Q5589,22,0,22
Q5592,32,1,33
Q5593,46,4,50
Q5597,23,1,24
Q5603,38,6,44
Q5604,19,1,20
Q5608,35,14,49
Q5638,5,0,5
Q5673,42,0,42
Q5679,47,2,49
Q5682,33,4,37
Q5685,37,4,41
Q5686,47,16,63
Q5690,17,1,18
Q5705,27,5,32
Q5762,1,142,143
Q5785,18,3,21
Q5794,6,3,9
Q5806,17,4,21
Q5809,0,5,5
Q5812,26,3,29
Q5816,33,4,37
Q5836,11,0,11
Q5838,17,1,18
Q5879,75,10,85
Q5885,20,50,70
Q5891,13,76,89
Q5902,9,0,9
Q5912,35,0,35
Q5917,8,5,13
Q5921,30,9,39
Q5925,11,20,31
Q5928,33,17,50
Q5930,21,8,29
Q5933,12,14,26
Q5950,36,12,48
Q5994,8,323,331
Q6010,6,23,29
Q6060,29,4,33
Q6078,35,4,39
Q6096,39,6,45
Q6106,22,26,48
Q6107,31,2,33
Q6186,13,4,17
Q6199,12,0,12
Q6221,21,3,24
Q6225,14,5,19
Q6226,12,3,15
Q6229,0,5,5
Q6231,14,1,15
Q6235,3,0,3
Q6247,23,0,23
Q6250,1,5,6
Q6252,18,2,20
Q6256,6,221,227
Q6259,23,0,23
Q6266,5,22,27
Q6271,7,2,9
Q6279,34,1,35
Q6294,53,7,60
Q6343,19,0,19
Q6346,19,23,42
Q6397,22,2,24
Q6441,12,4,16
Q6463,6,0,6
Q6465,7,16,23
Q6506,19,1,20
Q6512,36,9,45
Q6513,1,25,26
Q6527,39,6,45
Q6534,9,5,14
Q6536,5,8,13
Q6537,10,1,11
Q6540,0,5,5
Q6574,2,258,260
Q6580,6,0,6
Q6602,26,10,36
Q6607,10,425,435
Q6630,4,0,4
