Title,Description,MDI,URL,Alias,RDF
Jackson County,"county in Missouri, United States",/m/0nf3h,"https://en.wikipedia.org/wiki/Jackson_County,_Missouri","Jackson County, Missouri|Jackson County, MO",Q127238
incest,sexual activity between family members or close relatives,/m/03vks,https://en.wikipedia.org/wiki/Incest,incest relationship,Q127683
Kent County,"county in Delaware, United States",/m/0m2kw,"https://en.wikipedia.org/wiki/Kent_County,_Delaware","Kent County, Delaware|Kent County, DE",Q128137
Mie Prefecture,prefecture of Japan,/m/018jhd,https://en.wikipedia.org/wiki/Mie_Prefecture,,Q128196
drum kit,collection of drums and other percussion instruments,/m/02hnl,https://en.wikipedia.org/wiki/Drum_kit,drum set|traps|trap set|drums|drum-kit|drum-set,Q128309
Pac-12 Conference,American collegiate athletics conference,/m/0kh51,https://en.wikipedia.org/wiki/Pac-12_Conference,Pacific-10 Conference|Pac-10 Conference|Pac-10|Pac-8|Pacific-12 Conference|AAWU|Athletic Association of Western Universities|PAC-12,Q128471
European Capital of Culture,award,/m/017z_g,https://en.wikipedia.org/wiki/European_Capital_of_Culture,European City of Culture,Q129372
George IV of the United Kingdom,British noble (1762-1830); King of the United Kingdom and Hanover from 1820,/m/0b0sx,https://en.wikipedia.org/wiki/George_IV,George Augustus Frederick|George Augustus Frederick Hanover|George Hanover|George Augustus Frederick king of the United Kingdom of Great Britain and Ireland and king of Hanove|Georg August Friedrich king of the United Kingdom of Great Britain and Ireland and king of Hanover|George IV|Prince of Wales George IV|Prince of Wales George|First Gentleman of Europe|King George IV,Q130586
Kendrick Lamar,American rapper and songwriter (born 1987),/m/0g9x698,https://en.wikipedia.org/wiki/Kendrick_Lamar,Kendrick Duckworth|King Kendrick|Oklama|Kendrick L. Duckworth|K.Dot,Q130798
William IV,King of the United Kingdom of Great Britain and Ireland and of Hanover from 1830 to 1837,/m/0bvwx,https://en.wikipedia.org/wiki/William_IV,William Henry|William Henry Hanover|William Hanover|King of Great Britain William Henry|Duke of Clarence William Henry|King of Great Britain William IV|King William IV,Q130822
Eastern Cape,province of South Africa,/m/01tjsl,https://en.wikipedia.org/wiki/Eastern_Cape,Eastern Cape Province|province of the Eastern Cape|province of Eastern Cape,Q130840
utopia,community or society possessing highly desirable or perfect qualities,/m/07ssw,https://en.wikipedia.org/wiki/Utopia,,Q131156
cabaret,venue for a mixed variety show of music & theatrical revue,/m/0g64p,https://en.wikipedia.org/wiki/Cabaret,,Q131183
Munster,province in Ireland,/m/0fp0j,https://en.wikipedia.org/wiki/Munster,Cúige Mumhan|An Mhumhain|Munster Province|Munster Prov.|Munster P.|Province of Munster|Prov. of Munster|P. of Munster,Q131438
Library of Congress,(de facto) national library of the United States of America,/m/04jp2,https://en.wikipedia.org/wiki/Library_of_Congress,LC|loc.gov|LOC|LoC|Congressional Library|United States. Library of Congress|US Library of Congress,Q131454
Olympic Stadium,"stadium located in Munich, Germany",/m/03qst1,https://en.wikipedia.org/wiki/Olympiastadion_(Munich),Olympiastadion|Munich Olympic Stadium,Q131610
medallion,"round piece of metal, often used as an award",/m/020yd1,https://en.wikipedia.org/wiki/Medal,medal,Q131647
George II of Great Britain,King of Great Britain and Ireland from 1727 to 1760,/m/0ck4s,https://en.wikipedia.org/wiki/George_II_of_Great_Britain,"George Augustus|George II|George Augustus Hanover|George Hanover|Georg II|George II, Elector of Hanover|George Augustus, Prince of Wales|George II, King of Great Britain",Q131981
Mpumalanga,province of South Africa,/m/01tjtl,https://en.wikipedia.org/wiki/Mpumalanga,Eastern Transvaal|Mpumalanga Province,Q132410
Office of the United Nations High Commissioner for Refugees,United Nations agency mandated to protect and support refugees,/m/07vqq,https://en.wikipedia.org/wiki/United_Nations_High_Commissioner_for_Refugees,UN Refugee Agency|UNHCR,Q132551
colony,"territory under the political control of an overseas state, generally with its own subordinate colonial government",/m/01_lc,https://en.wikipedia.org/wiki/Colony,colonial country,Q133156
city-state,independent or autonomous entity whose territory consists of a city,/m/0113r_,https://en.wikipedia.org/wiki/City-state,city state,Q133442
Giuseppe Meazza Stadium,"multisport venue in Milan, Italy",/m/025s6d7,https://en.wikipedia.org/wiki/San_Siro,Stadio San Siro|San Siro Stadium|Meazza Stadium|Stadio Giuseppe Meazza|G. Meazza Stadium|San Siro,Q133566
joint-stock company,business entity which is owned by shareholders,/m/01_jrm,https://en.wikipedia.org/wiki/Joint-stock_company,stock company|stock corporation|joint-stock corporation|Stock corporation,Q134161
province of the Netherlands,first-level administrative division in the Netherlands,/m/0fwqc,https://en.wikipedia.org/wiki/Provinces_of_the_Netherlands,provinces of the Netherlands|Dutch province|Dutch provinces,Q134390
district capital,capital of a German rural district,,,,Q134626
Microsoft Store,digital distribution platform from Microsoft,/m/0h95rbc,https://en.wikipedia.org/wiki/Microsoft_Store,Windows Store|Microsoft Store (digital)|MS Store,Q135288
higher education,"academic tertiary education, such as from colleges and universities",/m/03r55,https://en.wikipedia.org/wiki/Higher_education,college education|university education|post-secondary education|tertiary education|third level education|academic learning|academic study,Q136822
Princeton,"municipality in Mercer County, New Jersey, United States",/m/0ljsz,"https://en.wikipedia.org/wiki/Princeton,_New_Jersey","Princeton, New Jersey|Princeton, NJ|Princeton borough|Princeton, N.J.",Q138518
First Czechoslovak Republic,1918–1938 republic in Central/Eastern Europe,/m/03x_j2f,https://en.wikipedia.org/wiki/First_Czechoslovak_Republic,Československá republika,Q140359
chairperson,"leading or presiding officer of an organized group such as a board, committee, or deliberative assembly",/m/09d6p2,https://en.wikipedia.org/wiki/Chair_(officer),chairman|chairwoman|chair|presiding officer|chairman of the board|foreman|chairpersons|chairwomen|chairmen|chairwoman of the board|chairperson of the board|president (chairman)|chair (officer),Q140686
German Americans,ethnic group; Americans of German birth or descent,/m/01qhm_,https://en.wikipedia.org/wiki/German_Americans,German American|Americans of German ethnicity|Germo-Americans,Q141817
Prometheus Award,award for libertarian science fiction novels given annually by the Libertarian Futurist Society,/m/06196,https://en.wikipedia.org/wiki/Prometheus_Award,,Q142392
